trade_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,tp3_price,entry,sl_usd,tp1_usd,tp2_usd,tp3_usd,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,max_level_reached,sl_pips,tp1_pips,tp2_pips,tp3_pips,month,week_no,margin_used,score
b77d7490-0895-430e-931b-b0aa1896a0cc,XAUUSD,SELL,2026,Asia,C,4492.89,4494.39,4491.39,4489.89,4488.39,4492.89,-1.5,1.5,3.0,4.5,0.01,4424,2026-01-07 05:45:00 IST,7049,2026-01-09 03:30:00 IST,CLOSED,CANCELLED,0.0,4492.89,expired_2_days,none,150.0,150.0,300.0,450.0,1,2,22.46,73.8
ea88ac4b-1790-4843-b143-479b2eb13434,XAUUSD,BUY,2026,Asia,A,4462.83,4461.33,4464.33,4465.83,4467.33,4462.83,-1.5,1.5,3.0,4.5,0.01,7184,2026-01-09 05:45:00 IST,7184,2026-01-09 05:45:00 IST,CLOSED,LOSS,-1.5,4461.33,sl_hit,sl_hit,150.0,150.0,300.0,450.0,1,2,22.31,78.8
45eb7541-0ff8-4d15-87ec-ebd940b66d1e,XAUUSD,BUY,2026,Asia,C,4461.88,4460.38,4463.38,4464.88,4466.38,4461.88,-1.5,1.5,3.0,4.5,0.01,7312,2026-01-09 07:53:00 IST,7313,2026-01-09 07:54:00 IST,CLOSED,BREAKEVEN,0.76,4461.9,breakeven,tp1,150.0,150.0,300.0,450.0,1,2,22.31,73.8
7a7227e1-705c-461a-854c-48327d3f2d56,XAUUSD,SELL,2026,Asia,A,4588.91,4590.41,4587.41,4585.91,4584.41,4588.91,-1.5,1.5,3.0,4.5,0.01,8564,2026-01-12 05:45:00 IST,8564,2026-01-12 05:45:00 IST,CLOSED,WIN,2.62,4584.41,tp3,tp3,150.0,150.0,300.0,450.0,1,3,22.94,78.8
0abfecd8-c315-4643-80ed-12cc9abbc01d,XAUUSD,SELL,2026,London,C,4589.86,4591.36,4588.36,4586.86,4585.36,4589.86,-1.5,1.5,3.0,4.5,0.01,9016,2026-01-12 13:17:00 IST,9016,2026-01-12 13:17:00 IST,CLOSED,LOSS,-1.5,4591.36,sl_hit,sl_hit,150.0,150.0,300.0,450.0,1,3,22.95,73.8
356f9def-3733-4f25-851e-d92e7b6fdb57,XAUUSD,SELL,2026,Asia,A,4587.38,4588.88,4585.88,4584.38,4582.88,4587.38,-1.5,1.5,3.0,4.5,0.01,9944,2026-01-13 05:45:00 IST,9944,2026-01-13 05:45:00 IST,CLOSED,LOSS,-1.5,4588.88,sl_hit,sl_hit,150.0,150.0,300.0,450.0,1,3,22.94,78.8
3b6ac39c-5fc9-4a43-b32e-4e8bf32cd9c2,XAUUSD,SELL,2026,Asia,C,4588.33,4589.83,4586.83,4585.33,4583.83,4588.33,-1.5,1.5,3.0,4.5,0.01,9995,2026-01-13 06:36:00 IST,9996,2026-01-13 06:37:00 IST,CLOSED,BREAKEVEN,0.76,4588.31,breakeven,tp1,150.0,150.0,300.0,450.0,1,3,22.94,73.8
0aef3f00-9562-47d5-8589-e4e57448aebf,XAUUSD,SELL,2026,Asia,A,4609.13,4610.63,4607.63,4606.13,4604.63,4609.13,-1.5,1.5,3.0,4.5,0.01,11324,2026-01-14 05:45:00 IST,11324,2026-01-14 05:45:00 IST,CLOSED,LOSS,-1.5,4610.63,sl_hit,sl_hit,150.0,150.0,300.0,450.0,1,3,23.05,78.8
d4adcaeb-7198-4aa6-ad9d-d48e6f914bbb,XAUUSD,SELL,2026,Asia,C,4610.08,4611.58,4608.58,4607.08,4605.58,4610.08,-1.5,1.5,3.0,4.5,0.01,11369,2026-01-14 06:30:00 IST,11369,2026-01-14 06:30:00 IST,CLOSED,LOSS,-1.5,4611.58,sl_hit,sl_hit,150.0,150.0,300.0,450.0,1,3,23.05,73.8
64df4d8d-838c-48b0-9024-95ebc653bce5,XAUUSD,BUY,2026,Asia,A,4615.26,4613.76,4616.76,4618.26,4619.76,4615.26,-1.5,1.5,3.0,4.5,0.01,12704,2026-01-15 05:45:00 IST,12704,2026-01-15 05:45:00 IST,CLOSED,LOSS,-1.5,4613.76,sl_hit,sl_hit,150.0,150.0,300.0,450.0,1,3,23.08,78.8
