trade_id,signal_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,entry,sl,tp1,tp2,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,sl_pips,tp1_pips,tp2_pips
43ec5c41-9f39-42e9-82ad-24c5681d06c2,31cad413-e912-4ea7-be28-e9b987c9768c,EURUSD,BUY,2024,Asia,A,1.11141,1.10847,1.11435,1.11729,1.11141,1.10847,1.11435,1.11729,0.01,268421,2024-09-19 00:15:00+00:00,268459,2024-09-19 00:53:00+00:00,CLOSED,LOSS,-2.94,1.10847,SL_HIT,29.4,29.4,58.8
fc536277-b3f1-447a-8cd5-f0c7470ef8f6,e396c551-fa07-4429-aeca-e239f2a2c30a,EURUSD,BUY,2024,Asia,B,1.10891,1.10597,1.11185,1.11479,1.10891,1.10597,1.11185,1.11479,0.01,268456,2024-09-19 00:50:00+00:00,268830,2024-09-19 07:04:00+00:00,CLOSED,WIN,4.41,1.11479,TP2_HIT,29.4,29.4,58.8
ece94497-17b3-45a6-ae76-f7410b4b20ea,c60e48b2-edf4-4558-abf6-0b1aeb03a706,EURUSD,SELL,2024,Asia,B,1.11843,1.12178,1.11508,1.11173,1.11843,1.12178,1.11508,1.11173,0.01,269860,2024-09-20 00:15:00+00:00,271163,2024-09-22 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.11843,EXPIRED_DAY_END,33.5,33.5,67.0
6d5fef5c-719f-472d-996d-68ca34a1baf0,f6931ade-f9d3-4e27-bb81-bb1f1753822d,EURUSD,SELL,2024,Asia,A,1.11593,1.11928,1.11258,1.10923,1.11593,1.11928,1.11258,1.10923,0.01,269860,2024-09-20 00:15:00+00:00,271769,2024-09-23 08:06:00+00:00,CLOSED,WIN,5.03,1.10923,TP2_HIT,33.5,33.5,67.0
61df56fd-9978-42ea-a274-877edbdd8d3a,89e59a47-6574-4ed5-a2af-02311a2700a9,EURUSD,SELL,2024,Asia,A,1.11588,1.11935,1.11241,1.10893,1.11588,1.11935,1.11241,1.10893,0.01,271298,2024-09-23 00:15:00+00:00,271776,2024-09-23 08:13:00+00:00,CLOSED,WIN,5.22,1.10893,TP2_HIT,34.7,34.7,69.5
d84d77da-1069-4794-ba50-5acc7e7dbd64,98871431-a527-4823-b227-97466a98ea1c,EURUSD,SELL,2024,Asia,B,1.11838,1.12185,1.11491,1.11143,1.11838,1.12185,1.11491,1.11143,0.01,271298,2024-09-23 00:15:00+00:00,272603,2024-09-23 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.11838,EXPIRED_DAY_END,34.7,34.7,69.5
58bef169-e37f-4b65-b2dd-1697fa9b4d2f,911dd4a4-4380-4290-b3fb-29869383da0d,EURUSD,BUY,2024,Asia,B,1.10858,1.1049,1.11226,1.11594,1.10858,1.1049,1.11226,1.11594,0.01,272738,2024-09-24 00:15:00+00:00,274043,2024-09-24 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.10858,EXPIRED_DAY_END,36.8,36.8,73.6
be513ad8-052b-4698-a0b4-6007688951f7,b85c3f56-b343-46aa-a517-caaf51231405,EURUSD,BUY,2024,Asia,A,1.11108,1.1074,1.11476,1.11844,1.11108,1.1074,1.11476,1.11844,0.01,272738,2024-09-24 00:15:00+00:00,274088,2024-09-24 22:45:00+00:00,CLOSED,WIN,5.52,1.11844,TP2_HIT,36.8,36.8,73.6
ae76ed94-2aca-4769-a4dd-3aae8c023d20,0e7b3b32-7eb1-4ec8-96fa-ef6d484b1e48,EURUSD,SELL,2024,Asia,B,1.12158,1.12568,1.11748,1.11338,1.12158,1.12568,1.11748,1.11338,0.01,274178,2024-09-25 00:15:00+00:00,275482,2024-09-25 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.12158,EXPIRED_DAY_END,41.0,41.0,82.0
df9bf16a-7dee-4bc3-9831-f80665ca6f3e,cb61f58c-39b8-4d47-b503-37946d18acef,EURUSD,SELL,2024,Asia,A,1.11908,1.12318,1.11498,1.11088,1.11908,1.12318,1.11498,1.11088,0.01,274178,2024-09-25 00:15:00+00:00,276546,2024-09-26 15:44:00+00:00,CLOSED,BREAKEVEN,2.3,1.11858,SL_HIT,41.0,41.0,82.0
a3bd43f4-40e2-461d-bbdb-2d622dc03f50,e097c774-e3b3-439b-ba9b-27c0c71ccaf5,EURUSD,BUY,2024,Asia,B,1.11047,1.10637,1.11457,1.11868,1.11047,1.10637,1.11457,1.11868,0.01,275617,2024-09-26 00:15:00+00:00,276922,2024-09-26 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.11047,EXPIRED_DAY_END,41.0,41.0,82.1
1ca986a6-2423-4a2e-ae1a-1a5e653551d5,bd08910c-8c4e-464f-8d72-986dd0ab574f,EURUSD,BUY,2024,Asia,A,1.11297,1.10887,1.11707,1.12118,1.11297,1.10887,1.11707,1.12118,0.01,275617,2024-09-26 00:15:00+00:00,277472,2024-09-27 07:10:00+00:00,CLOSED,BREAKEVEN,2.3,1.11347,SL_HIT,41.0,41.0,82.1
