trade_id,signal_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,entry,sl,tp1,tp2,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,sl_pips,tp1_pips,tp2_pips
040a8517-8e7e-4363-8a83-66515f64067f,171b3dd3-890c-4d4b-b045-be0fa78b6336,XAUUSD,SELL,2024,Asia,A,2391.84,2393.34,2390.34,2388.84,2391.84,2393.34,2390.34,2388.84,0.01,132184,2024-05-16 00:15:00+00:00,132189,2024-05-16 00:20:00+00:00,CLOSED,LOSS,-1.5,2393.34,SL_HIT,150.0,150.0,300.0
e1f46837-f112-42a9-982c-1da92d988422,3c2582e5-3ac8-4e79-ba3c-0412be9aec97,XAUUSD,SELL,2024,Asia,B,2392.79,2394.29,2391.29,2389.79,2392.79,2394.29,2391.29,2389.79,0.01,132186,2024-05-16 00:17:00+00:00,132197,2024-05-16 00:28:00+00:00,CLOSED,LOSS,-1.5,2394.29,SL_HIT,150.0,150.0,300.0
64d98ed9-060f-46d4-915a-8fd7977a6ad8,36fb2fb2-04fd-4d50-9cb3-64dda0cc71d5,XAUUSD,SELL,2024,Asia,A,2377.86,2379.36,2376.36,2374.86,2377.86,2379.36,2376.36,2374.86,0.01,133563,2024-05-17 00:15:00+00:00,133566,2024-05-17 00:18:00+00:00,CLOSED,LOSS,-1.5,2379.36,SL_HIT,150.0,150.0,300.0
c1441bac-4113-4819-ac27-355004c17092,98a616af-4478-4721-9ca4-1cbd14cb56be,XAUUSD,SELL,2024,Asia,B,2378.81,2380.31,2377.31,2375.81,2378.81,2380.31,2377.31,2375.81,0.01,133563,2024-05-17 00:15:00+00:00,133617,2024-05-17 01:09:00+00:00,CLOSED,BREAKEVEN,0.77,2378.76,SL_HIT,150.0,150.0,300.0
96c195a4-f60b-4c4a-b9c2-394394f4aa59,724527c1-850e-4ff9-948a-7a24413b8860,XAUUSD,SELL,2024,Asia,A,2420.24,2421.74,2418.74,2417.24,2420.24,2421.74,2418.74,2417.24,0.01,134940,2024-05-20 00:15:00+00:00,134940,2024-05-20 00:15:00+00:00,CLOSED,WIN,2.25,2417.24,TP2_HIT,150.0,150.0,300.0
c61289e3-b578-4d29-8606-264f7346449f,45bbabc7-f082-4324-83c6-1e7d3683976a,XAUUSD,SELL,2024,Asia,B,2421.19,2422.69,2419.69,2418.19,2421.19,2422.69,2419.69,2418.19,0.01,134954,2024-05-20 00:29:00+00:00,134956,2024-05-20 00:31:00+00:00,CLOSED,LOSS,-1.5,2422.69,SL_HIT,150.0,150.0,300.0
764ee019-15e8-4ffd-b107-6af8ae1d7223,5850159d-58bd-47b3-a700-405494cbbf9b,XAUUSD,SELL,2024,Asia,A,2421.77,2423.27,2420.27,2418.77,2421.77,2423.27,2420.27,2418.77,0.01,137698,2024-05-22 00:15:00+00:00,137744,2024-05-22 01:01:00+00:00,CLOSED,BREAKEVEN,0.78,2421.72,SL_HIT,150.0,150.0,300.0
9161e2e1-0a87-404f-843f-52ce8edc0221,c50c44d1-9777-494d-bd09-2d7fa2f3606d,XAUUSD,SELL,2024,Asia,B,2422.72,2424.22,2421.22,2419.72,2422.72,2424.22,2421.22,2419.72,0.01,137702,2024-05-22 00:19:00+00:00,137746,2024-05-22 01:03:00+00:00,CLOSED,BREAKEVEN,0.77,2422.67,SL_HIT,150.0,150.0,300.0
6e7ccc1d-8c0e-4ebd-8cc3-4e197165f105,5cdd559a-642a-45c4-abea-3cbce13f3ce6,XAUUSD,BUY,2024,Asia,A,2332.0,2330.5,2333.5,2335.0,2332.0,2330.5,2333.5,2335.0,0.01,140457,2024-05-24 00:15:00+00:00,140459,2024-05-24 00:17:00+00:00,CLOSED,LOSS,-1.5,2330.5,SL_HIT,150.0,150.0,300.0
755079b3-1006-4532-b643-49205ce5db49,96ca750e-22b7-4d08-8c8e-eb55afe9b6d4,XAUUSD,BUY,2024,Asia,B,2331.05,2329.55,2332.55,2334.05,2331.05,2329.55,2332.55,2334.05,0.01,140457,2024-05-24 00:15:00+00:00,140466,2024-05-24 00:24:00+00:00,CLOSED,LOSS,-1.5,2329.55,SL_HIT,150.0,150.0,300.0
