trade_id,signal_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,tp3_price,entry,sl,tp1,tp2,tp3,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,margin_used,entry_amount,monetary_loss_at_sl,monetary_profit_at_tp,rr_ratio,tp3_pips,sl_pips,tp1_pips,tp2_pips,tp3_pips
72db94e8-b2e3-48d4-a600-feba7d4eb222,0e9ebe46-6253-4d62-954c-1fdd48edca27,EURUSD,BUY,2024,Asia,A,1.07725,1.07319,1.08131,1.08537,1.08942,1.07725,1.07319,1.08131,1.08537,1.08942,0.01,34732,2024-02-05 00:15:00+00:00,35557,2024-02-05 14:00:00+00:00,CLOSED,LOSS,-4.06,1.07319,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,40.6,40.6,81.2,121.7
fdcad5a1-afc8-458c-b358-0cbc2ed7c8e0,74aeb3ad-4178-457c-b45f-3aeb8b3f9c92,EURUSD,BUY,2024,Asia,B,1.07187,1.06773,1.07602,1.08016,1.08431,1.07187,1.06773,1.07602,1.08016,1.08431,0.01,36172,2024-02-06 00:15:00+00:00,37477,2024-02-06 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.07187,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,41.4,41.5,82.9,124.4
4f6d2a08-7329-4740-a045-172bf27d13de,e3bce0f5-4b10-4cc2-8d20-f49a20a76517,EURUSD,BUY,2024,Asia,B,1.07339,1.0693,1.07748,1.08156,1.08565,1.07339,1.0693,1.07748,1.08156,1.08565,0.01,37612,2024-02-07 00:15:00+00:00,38917,2024-02-07 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.07339,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,40.9,40.9,81.7,122.6
b1649a41-23da-4630-a8b9-c979d59566ef,8bd156ab-353b-4ef2-b2d3-bd4a7171729c,EURUSD,BUY,2024,London,B,1.07475,1.07069,1.07881,1.08287,1.08692,1.07475,1.07069,1.07881,1.08287,1.08692,0.01,35309,2024-02-05 09:52:00+00:00,39799,2024-02-08 12:42:00+00:00,CLOSED,BREAKEVEN,2.13,1.07495,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,40.6,40.6,81.2,121.7
c41e8e6e-0ba5-475b-bed4-4a50fbcf694b,9d83a150-f576-4a3d-9443-34605a77b3ac,EURUSD,BUY,2024,Asia,A,1.07437,1.07022,1.07852,1.08266,1.08681,1.07437,1.07022,1.07852,1.08266,1.08681,0.01,36172,2024-02-06 00:15:00+00:00,39800,2024-02-08 12:43:00+00:00,CLOSED,BREAKEVEN,2.17,1.07457,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,41.5,41.5,82.9,124.4
55178cca-3e3f-41ce-a738-81dbe13f0365,7a527fa7-fa84-473c-bc62-e2ffa34d621d,EURUSD,BUY,2024,Asia,B,1.07479,1.07174,1.07784,1.0809,1.08395,1.07479,1.07174,1.07784,1.0809,1.08395,0.01,40492,2024-02-09 00:15:00+00:00,41796,2024-02-11 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.07479,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,30.5,30.5,61.1,91.6
771e3d99-0af6-4434-bb4d-3d5784b1f4d8,b8cb6968-5c8b-440f-8848-9c7490904c11,EURUSD,BUY,2024,Asia,A,1.07986,1.07765,1.08207,1.08428,1.08649,1.07986,1.07765,1.08207,1.08428,1.08649,0.01,41931,2024-02-12 00:15:00+00:00,42389,2024-02-12 07:53:00+00:00,CLOSED,LOSS,-2.21,1.07765,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,22.1,22.1,44.2,66.3
b234e0ba-b768-4315-96ce-0a86d2b89a7a,efe56781-5b48-487d-b5f7-996d6d34e86a,EURUSD,BUY,2024,Asia,A,1.07729,1.07424,1.08034,1.0834,1.08645,1.07729,1.07424,1.08034,1.0834,1.08645,0.01,40492,2024-02-09 00:15:00+00:00,42390,2024-02-12 07:54:00+00:00,CLOSED,BREAKEVEN,1.62,1.07749,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,30.5,30.5,61.1,91.6
0dececf9-412c-46a7-8b34-63836bb34944,08b77034-aee5-4564-88c3-d5289ba83ef2,EURUSD,BUY,2024,Asia,A,1.07589,1.0718,1.07998,1.08406,1.08815,1.07589,1.0718,1.07998,1.08406,1.08815,0.01,37612,2024-02-07 00:15:00+00:00,42686,2024-02-12 12:50:00+00:00,CLOSED,BREAKEVEN,2.14,1.07609,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,40.9,40.9,81.7,122.6
779a3c9a-3cba-44c9-898b-e458feb00aef,b4ce1f66-72ae-4b4b-8383-9b3be3c31acf,EURUSD,BUY,2024,London,B,1.07736,1.07515,1.07957,1.08178,1.08399,1.07736,1.07515,1.07957,1.08178,1.08399,0.01,42396,2024-02-12 08:00:00+00:00,44104,2024-02-13 12:30:00+00:00,CLOSED,LOSS,-2.21,1.07515,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,22.1,22.1,44.2,66.3
04fdbfb8-1950-4422-8628-917361ffb9f3,4d595dff-78fe-4d9f-83c2-6464a4b723cc,EURUSD,BUY,2024,Asia,A,1.07728,1.0752,1.07936,1.08144,1.08352,1.07728,1.0752,1.07936,1.08144,1.08352,0.01,43369,2024-02-13 00:15:00+00:00,44104,2024-02-13 12:30:00+00:00,CLOSED,BREAKEVEN,1.14,1.07748,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,20.8,20.8,41.6,62.4
8170a64e-636d-4d3b-b5e5-6fd1296f9780,f1c6338c-b763-433b-966c-384977df308e,EURUSD,BUY,2024,London,B,1.07478,1.0727,1.07686,1.07894,1.08102,1.07478,1.0727,1.07686,1.07894,1.08102,0.01,44104,2024-02-13 12:30:00+00:00,44105,2024-02-13 12:31:00+00:00,CLOSED,WIN,2.6,1.07686,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,20.8,20.8,41.6,62.4
617feb83-441e-447b-9231-e1ade40fa776,ae2674c8-495e-4696-8f22-8518a33ce213,EURUSD,BUY,2024,Asia,B,1.06827,1.06561,1.07093,1.07358,1.07624,1.06827,1.06561,1.07093,1.07358,1.07624,0.01,44809,2024-02-14 00:15:00+00:00,46114,2024-02-14 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.06827,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,26.6,26.6,53.1,79.7
