trade_id,signal_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,tp3_price,entry,sl,tp1,tp2,tp3,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,margin_used,entry_amount,monetary_loss_at_sl,monetary_profit_at_tp,rr_ratio,tp3_pips,sl_pips,tp1_pips,tp2_pips
63fe6bca-96a0-4640-a15b-1861088acb16,cd3d8e14-7ff5-4dce-8471-13d152e66abd,XAGUSD,SELL,2024,Asia,B,30.122,30.501,29.743,29.364,28.985,30.122,30.501,29.743,29.364,28.985,0.01,235061,2024-08-29 00:15:00+00:00,236305,2024-08-29 22:00:00+00:00,CLOSED,CANCELLED,0.0,30.122,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,37.9,37.9,75.8
50d64ff9-6233-452c-a369-e50265331671,6d88c486-5f24-44c9-be14-c34224573582,XAGUSD,SELL,2024,Asia,A,30.005,30.335,29.675,29.345,29.015,30.005,30.335,29.675,29.345,29.015,0.01,233682,2024-08-28 00:15:00+00:00,237293,2024-08-30 14:29:00+00:00,CLOSED,WIN,28.87,29.015,TP3_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,33.0,33.0,66.0
af407385-ace6-4674-a809-5ddf304a513c,90aec86b-b935-4e83-a8d8-0970a80890a9,XAGUSD,SELL,2024,Asia,B,29.808,30.149,29.467,29.126,28.785,29.808,30.149,29.467,29.126,28.785,0.01,237816,2024-09-02 00:15:00+00:00,238911,2024-09-02 22:00:00+00:00,CLOSED,CANCELLED,0.0,29.808,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,34.1,34.1,68.2
6107bc20-0380-492a-9cc0-c8b999a4484e,4836f300-bb2d-4a08-863e-415eadf5ab04,XAGUSD,SELL,2024,Asia,A,28.858,29.199,28.517,28.176,27.835,28.858,29.199,28.517,28.176,27.835,0.01,237816,2024-09-02 00:15:00+00:00,239866,2024-09-03 13:55:00+00:00,CLOSED,WIN,29.85,27.835,TP3_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,34.1,34.1,68.2
00b95e2a-193e-4ddc-a807-a289974a2391,e70f03b8-1aaf-4015-8aec-be5293450b48,XAGUSD,BUY,2024,Asia,B,27.1,26.7019,27.4981,27.8962,28.2943,27.1,26.7019,27.4981,27.8962,28.2943,0.01,240426,2024-09-04 00:15:00+00:00,241670,2024-09-04 22:00:00+00:00,CLOSED,CANCELLED,0.0,27.1,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,39.8,39.8,79.6
e6eeb983-65a4-4dd7-895a-0da64d35f706,5093a783-239d-4ebe-b607-94650712d225,XAGUSD,BUY,2024,Asia,B,27.302,26.9472,27.6568,28.0116,28.3664,27.302,26.9472,27.6568,28.0116,28.3664,0.01,241805,2024-09-05 00:15:00+00:00,243049,2024-09-05 22:00:00+00:00,CLOSED,CANCELLED,0.0,27.302,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,35.5,35.5,71.0
c38f4e95-1338-4484-bd13-858cb4c6aabe,cca77e84-9b62-45b1-8901-43baec5d6246,XAGUSD,BUY,2024,Asia,A,28.252,27.8972,28.6068,28.9616,29.3164,28.252,27.8972,28.6068,28.9616,29.3164,0.01,241805,2024-09-05 00:15:00+00:00,243986,2024-09-06 13:37:00+00:00,CLOSED,WIN,22.18,28.6068,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,35.5,35.5,71.0
0fb69772-526e-463f-9833-fb27e9ac2a4b,2f78b710-29c4-468f-b994-02f519e39c23,XAGUSD,BUY,2024,Asia,A,28.05,27.6519,28.4481,28.8462,29.2443,28.05,27.6519,28.4481,28.8462,29.2443,0.01,240426,2024-09-04 00:15:00+00:00,244036,2024-09-06 14:27:00+00:00,CLOSED,WIN,24.88,28.4481,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,39.8,39.8,79.6
8b54ed54-926e-49c0-bbde-d5c768b86ea2,14b6882a-5e61-4ae3-b6a5-1ed5c8df2280,XAGUSD,SELL,2024,Asia,B,29.774,30.1707,29.3773,28.9806,28.5839,29.774,30.1707,29.3773,28.9806,28.5839,0.01,243184,2024-09-06 00:15:00+00:00,244426,2024-09-08 22:00:00+00:00,CLOSED,CANCELLED,0.0,29.774,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,39.7,39.7,79.3
1b525fa5-3c03-4a6d-a015-631ca86d9286,b99aae2f-3622-4d1f-b07c-26889af1e230,XAGUSD,BUY,2024,Asia,B,27.02,26.5705,27.4695,27.919,28.3685,27.02,26.5705,27.4695,27.919,28.3685,0.01,244561,2024-09-09 00:15:00+00:00,245804,2024-09-09 22:01:00+00:00,CLOSED,CANCELLED,0.0,27.02,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,45.0,45.0,89.9
d6f1bd43-bff6-4b19-a3c7-52383444d9fc,9e7995d8-eda0-448b-9279-e37e9b1f432b,XAGUSD,SELL,2024,Asia,A,28.824,29.2207,28.4273,28.0306,27.6339,28.824,29.2207,28.4273,28.0306,27.6339,0.01,243184,2024-09-06 00:15:00+00:00,246363,2024-09-10 07:20:00+00:00,CLOSED,WIN,24.8,28.4273,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,39.7,39.7,79.3
